firm,title,applications_open,applications_close,link
DLA Piper,"Law, unlocked",01/01/2026,01/03/2026,https://careers.dlapiper.com/early-careers/
Clifford Chance,SPARK 2026,15/09/2025,16/02/2026,https://jobs.cliffordchance.com/spark
Womble Bond Dickinson,Work Placements 2026,28/11/2025,23/01/2026,https://www.trainingcontract.com/apply/
Womble Bond Dickinson,Scotland Work Placement 2026,28/11/2025,23/01/2026,https://www.trainingcontract.com/apply/
Womble Bond Dickinson,Training Contract,28/11/2025,23/01/2026,https://www.trainingcontract.com/apply/
Womble Bond Dickinson,Scotland Training Contract,28/11/2025,23/01/2026,https://www.trainingcontract.com/apply/
Gibson Dunn,First Year Insight Day,01/09/2025,16/02/2026,https://www.gibsondunn.com/careers/law-students/?_gl=1*yh0th8*_up*MQ..*_ga*MjAyMjYzNzI5NS4xNzU0NDg5NTAw*_ga_NK6SF84HP0*czE3NTQ0ODk1MDAkbzEkZzEkdDE3NTQ0ODk1MDYkajU0JGwwJGgw#international-programs
Fladgate,Vacation Scheme,31/10/2025,25/01/2026,https://www.fladgate.com/careers/trainee-recruitment
Fladgate,Training Contract,31/10/2025,25/01/2026,https://www.fladgate.com/careers/trainee-recruitment
Ropes & Gray,Spring Vacation Scheme 2026,13/11/2025,31/01/2026,https://www.ropesgrayrecruiting.com/en/uk/students-graduates
Ropes & Gray,Summer Vacation Scheme 2026,13/11/2025,31/01/2026,https://www.ropesgrayrecruiting.com/en/uk/students-graduates
Pinsent Masons,Dublin Summer Internship 1,01/12/2025,01/02/2026,https://www.pinsentmasons.com/careers/early-talent/rep-of-ireland/summer-internship#1
Pinsent Masons,Dublin Summer Internship 2,01/12/2025,01/02/2026,https://www.pinsentmasons.com/careers/early-talent/rep-of-ireland/summer-internship#1
Pinsent Masons,Belfast Vacation Placement 2026,01/09/2025,02/02/2026,https://www.pinsentmasons.com/careers/early-talent/northern-ireland/vacation-placement#1
Pinsent Masons,Dubai Summer Internship 2026,01/02/2026,01/03/2026,https://www.pinsentmasons.com/careers/early-talent/united-arab-emirates/summer-internship#1
Taylor Wessing,First Year Insight Day,02/03/2026,27/03/2026,https://www.taylorwessing.com/en/careers/united-kingdom/students-and-graduates-uk/our-schemes
Taylor Wessing,Limitless,02/03/2026,27/03/2026,https://www.taylorwessing.com/en/careers/united-kingdom/students-and-graduates-uk/our-schemes
Vinson & Elkins,First Year Open Day- discoVEr,01/10/2025,02/06/2026,https://www.velaw.com/careers/london-graduate-recruitment/
Vinson & Elkins,Winter Vacation Scheme,12/01/2026,31/07/2026,https://www.velaw.com/careers/london-graduate-recruitment/
Michelmores,Exeter Office Open Day,01/10/2025,20/01/2026,https://michelmores.app.candidats.io/events
Michelmores,Exeter Vacation Scheme,30/09/2025,17/02/2026,https://www.michelmores.com/careers/trainees/
Michelmores,Bristol Vacation Scheme,30/09/2025,17/02/2026,https://www.michelmores.com/careers/trainees/
Michelmores,Virtual Recruitment Events,01/10/2025,17/02/2026,https://michelmores.app.candidats.io/events
Michelmores,Placement Year,01/10/2025,23/02/2026,https://apply.candidats.io/cbbf50d6-d431-4c02-b06b-2521fd51a06d
Howard Kennedy,Training Contract,06/01/2026,08/03/2026,https://www.howardkennedy.com/careers/trainees
Accutrainee,Trainee Solicitor Opportunities,01/04/2026,30/06/2026,https://careers.accutrainee.com/jobs/129473-trainee-solicitor-london-regional
Accutrainee,Trainee Solicitor Opportunities,01/07/2026,30/09/2026,https://careers.accutrainee.com/jobs/129473-trainee-solicitor-london-regional
Morgan Lewis,Summer Vacation Scheme,09/10/2025,21/01/2026,https://www.morganlewis.com/careers/students-trainees-judicial-clerks
Morgan Lewis,Training Contract,09/10/2025,19/06/2026,https://www.morganlewis.com/careers/students-trainees-judicial-clerks
White & Case,STEM Open Day 2026,01/10/2025,08/02/2026,https://www.whitecase.com/careers/locations/uk/early-careers/our-offer/open-days
White & Case,Discover: University Insight Scheme 2026,01/10/2025,12/04/2026,https://www.whitecase.com/careers/locations/uk/early-careers/our-offer/discover-insight-schemes
White & Case,Training Contract: September 2028 and March 2029,01/10/2025,10/05/2026,https://www.whitecase.com/careers/locations/uk/early-careers/our-offer/training-contracts
White & Case,White & Case Virtual Learning Programme,01/09/2025,31/08/2026,https://www.whitecase.com/careers/locations/uk/students/our-offer/virtual-learning-programme
Sullivan & Cromwell,Training Contract,01/05/2026,12/06/2026,https://www.sullcrom.com/Careers/Offices/United-Kingdom/U.K.-Trainee-Solicitors-Programme
Walker Morris,Training Contract,30/04/2026,31/07/2026,https://graduates.walkermorris.co.uk/training/
Orrick,Vacation Scheme,01/10/2025,31/01/2026,https://www.orrick.com/en/Careers/Global-locations/Careers-in-the-UK/London-Office-Read-more
Orrick,Training Contract,02/01/2026,30/04/2026,https://www.orrick.com/en/Careers/Global-locations/Careers-in-the-UK/London-Office-Read-more
Dentons,Summer vacation scheme (Dublin),01/09/2025,26/01/2026,https://challengers.dentons.com/dublin-trainees/opportunities/vacation-scheme/
Dentons,Middle East Trainee Solicitor Programme,01/09/2025,30/01/2026,https://challengers.dentons.com/me/the-training-contract/
Dentons,Middle East Summer Insight Scheme,01/09/2025,30/01/2026,https://challengers.dentons.com/me/summer-insight-scheme/
Dentons,Trainee Solicitor Programme (London and Milton Keynes),01/09/2025,31/01/2026,https://challengers.dentons.com/uk-trainees/opportunities/training-contracts/
Dentons,Open day (London),01/09/2025,08/02/2026,https://challengers.dentons.com/uk-trainees/opportunities/open-days/
Dentons,Open day (Scotland),01/09/2025,08/02/2026,https://challengers.dentons.com/uk-trainees/opportunities/open-days/
Dentons,Trainee Solicitor Programme (Central Belt),01/09/2025,31/03/2026,https://challengers.dentons.com/uk-trainees/opportunities/training-contracts/
Bevan Brittan,Summer Vacation Scheme,20/10/2025,17/02/2026,https://www.bevanbrittan.com/careers/opportunities/vacation-scheme/
Bevan Brittan,Training Contract,17/02/2026,17/03/2026,https://www.bevanbrittan.com/careers/opportunities/trainee-solicitors/
Kirkland & Ellis,Open Day,05/01/2026,08/02/2026,https://ukgraduate.kirkland.com
Latham & Watkins,London First Year Scheme 2026,06/10/2025,25/01/2026,https://www.lwcareers.com/en/beginning-your-legal-career/united-kingdom/our-programmes
Stephenson Harwood,London Vacation Scheme – Spring,06/10/2025,30/01/2026,https://www.shlegal-futuretalent.com/opportunities/placement-schemes
Stephenson Harwood,London Vacation Scheme – Summer 1,06/10/2025,30/01/2026,https://www.shlegal-futuretalent.com/opportunities/placement-schemes
Stephenson Harwood,London Vacation Scheme – Summer 2,06/10/2025,30/01/2026,https://www.shlegal-futuretalent.com/opportunities/placement-schemes
Stephenson Harwood,Dubai Vacation Scheme,06/10/2025,30/01/2026,https://www.shlegal-futuretalent.com/opportunities/placement-schemes
Stephenson Harwood,Hong Kong Vacation Scheme 1,11/08/2025,31/01/2026,https://www.shlegal-futuretalent.com/opportunities/placement-schemes
Stephenson Harwood,Hong Kong Vacation Scheme 2,11/08/2025,31/01/2026,https://www.shlegal-futuretalent.com/opportunities/placement-schemes
Stephenson Harwood,Bright Sparks,06/10/2025,27/02/2026,https://www.shlegal-futuretalent.com/opportunities/bright-sparks
Stephenson Harwood,London Training Contract,06/10/2025,27/03/2026,https://www.shlegal-futuretalent.com/opportunities/training-contracts/london-training-contract
Paul Hastings,Commercial Law Workshop Day,05/01/2026,14/06/2026,https://www.paulhastings.com/en-GB/careers/graduates
Paul Hastings,Direct Training Contract,05/01/2026,30/06/2026,https://www.paulhastings.com/en-GB/careers/graduates
Slaughter and May,"Training Contract (Penultimate Year Law Students, Law Finalists and Graduates)",01/06/2026,03/07/2026,https://www.slaughterandmay.com/careers/trainee-solicitors/the-training-contract/
Foot Anstey,Training Contract,03/11/2025,02/03/2026,https://www.footanstey.com/careers/early-careers/
Eversheds Sutherland,First Year Law/Second Year Non-Law Open Day,04/09/2025,01/03/2026,https://www.eversheds-sutherland.com/en/united-kingdom/careers/careers-page/students-and-recent-graduates/student-and-graduate-applications
Eversheds Sutherland,UK Training Contract,01/03/2026,21/06/2026,https://www.eversheds-sutherland.com/en/united-kingdom/careers/careers-page/students-and-recent-graduates/student-and-graduate-applications
Ashurst,First Year Insight Day,05/01/2026,27/02/2026,https://www.ashurst.com/en/careers/students-and-graduates/uk-first-year-insight-day/
Ashurst,Direct Training Contract,05/01/2026,27/03/2026,https://www.ashurst.com/en/careers/students-and-graduates/uk-london-training-contract/
TLT,Spring Insight Scheme,11/01/2025,17/03/2026,https://www.tlt.com/careers/trainees/
TLT,Training Contract,01/10/2025,31/05/2026,https://www.tlt.com/careers/trainees/
Express Solicitors,Easter Vacation Scheme 1,28/11/2025,25/01/2026,https://www.expresssolicitors.co.uk/about/careers/vacation-schemes
Express Solicitors,Easter Vacation Scheme 2,28/11/2025,25/01/2026,https://www.expresssolicitors.co.uk/about/careers/vacation-schemes
Express Solicitors,Insight Day - Your Future at Express,27/02/2026,08/04/2026,https://www.expresssolicitors.co.uk/about/careers/vacation-schemes
Express Solicitors,Summer Vacation Scheme 1,27/03/2026,17/05/2026,https://www.expresssolicitors.co.uk/about/careers/vacation-schemes
Express Solicitors,Summer Vacation Scheme 2,27/03/2026,17/05/2026,https://www.expresssolicitors.co.uk/about/careers/vacation-schemes
Express Solicitors,Summer Vacation Scheme 3,27/03/2026,17/05/2026,https://www.expresssolicitors.co.uk/about/careers/vacation-schemes
Express Solicitors,Summer Vacation Scheme 4,27/03/2026,17/05/2026,https://www.expresssolicitors.co.uk/about/careers/vacation-schemes
Stevens & Bolton,Training Contract,01/12/2025,31/01/2026,https://www.stevens-bolton.com/site/join-us/trainees/the-training-contract/
Stevens & Bolton,Vacation Scheme,01/12/2025,31/01/2026,https://www.stevens-bolton.com/site/join-us/trainees/vacation-placements/
Bird & Bird,Flying Start Programme 2026,06/04/2026,02/07/2026,https://twobirds.app.candidats.io/roles
Bird & Bird,Early Bird Scholarship,06/04/2026,30/07/2026,https://twobirds.app.candidats.io/roles
Wiggin,Training Contract,02/01/2026,22/05/2026,https://www.wiggin.co.uk/careers/training-contract-applications/
CMS,Insight Programme,02/02/2026,27/02/2026,https://cmsemergingtalent.com/programmes/insight-week/
CMS,Gradaute Solicitor Apprenticeship,09/02/2026,08/03/2026,https://cmsemergingtalent.com/programmes/england-wales-ni/graduate-solicitor-apprenticeships/
CMS,CMS Connect,01/04/2026,30/04/2026,https://cmsemergingtalent.com/programmes/work-experience/
CMS,Law Scholarships,01/04/2026,10/07/2026,https://cmsemergingtalent.com/programmes/law-scholarships/
Baker McKenzie,First Year Insight Scheme,08/10/2025,01/02/2026,https://uk-graduates.bakermckenzie.com/programmes/first-year-insight-scheme/
Baker McKenzie,Training Contract,01/02/2026,01/04/2026,https://uk-graduates.bakermckenzie.com/programmes/direct-training-contract/
Marriott Harrison,2026 Summer Vacation Scheme,17/11/2025,02/02/2026,https://www.mhtrainee.com
Davis Polk & Wardwell,First Year Insight Day,01/10/2025,07/03/2026,https://davispolklondon.grad.allhires.com/app/
RPC,Bristol Insight Day,01/09/2025,18/02/2026,https://www.rpclegal.com/careers/early-talent/uk/meet-us-uk/
RPC,First Year Workshop,01/09/2025,09/03/2026,https://www.rpclegal.com/careers/early-talent/uk/meet-us-uk/
RPC,Bristol Training Contract,01/10/2025,16/03/2026,https://www.rpclegal.com/careers/early-talent/uk/training-contract/bristol-training-contract/
RPC,London Training Contract,23/03/2026,22/06/2026,https://www.rpclegal.com/careers/early-talent/uk/training-contract/london-training-contract/
Watson Farley & Williams,Training Contract,07/10/2025,24/05/2026,https://earlycareers.wfw.com
Withers,Training Contract 2028,01/10/2025,27/02/2026,https://www.withersworldwide.com/en-gb/careers/students-and-graduates/united-kingdom/training-in-london
Herbert Smith Freehills Kramer,First Year Workshops 1,01/01/2026,29/01/2026,https://apply.candidats.io/5896af0b-80f5-466d-99ad-00fde2519632?utm_source=LegalCheek&utm_medium=JobBoard&utm_campaign=2025HSFK_EC_UK&dclid=CIGK8_Hwv5EDFWtX9ggdpeofeg&gad_source=7
Herbert Smith Freehills Kramer,First Year Workshop 2,01/01/2026,29/01/2026,https://apply.candidats.io/5896af0b-80f5-466d-99ad-00fde2519632?utm_source=LegalCheek&utm_medium=JobBoard&utm_campaign=2025HSFK_EC_UK&dclid=CIGK8_Hwv5EDFWtX9ggdpeofeg&gad_source=7
Herbert Smith Freehills Kramer,Roger Leyland Scholarship,01/10/2025,29/01/2026,https://ad.doubleclick.net/ddm/clk/620989179;427806034;u;gdpr=$GDPR;gdpr_consent=$GDPR_CONSENT_755
Herbert Smith Freehills Kramer,HSF Kramer Campus Ambassador Role,01/01/2026,31/03/2026,https://ad.doubleclick.net/ddm/clk/628723019;436124496;m;gdpr=$GDPR;gdpr_consent=$GDPR_CONSENT_755
Herbert Smith Freehills Kramer,India Internship,01/06/2026,30/06/2026,https://careers.hsfkramer.com/global/en/uk/early-careers/india-internship
Kingsley Napley,Training Contract,15/12/2025,31/03/2026,https://www.kingsleynapley.co.uk/careers/early-careers/your-training-contract
King & Spalding,Training Contract,01/12/2025,30/03/2026,https://kslaw.grad.allhires.com/app/
Addleshaw Goddard,Ireland Summer Internship,01/12/2025,10/02/2026,https://earlycareers.addleshawgoddard.com/careers/placement-schemes-internships/
Addleshaw Goddard,Virtual Insight Day,01/10/2025,10/02/2026,https://earlycareers.addleshawgoddard.com/careers/open-days/
Leigh Day,Current vacancies at Leigh Day,01/12/2025,01/03/2026,https://careers.leighday.co.uk/jobs/vacancy/find/results/
Leigh Day,Current vacancies at Leigh Day,01/03/2026,01/06/2026,https://careers.leighday.co.uk/jobs/vacancy/find/results/
Leigh Day,Current vacancies at Leigh Day,01/06/2026,01/09/2026,https://careers.leighday.co.uk/jobs/vacancy/find/results/
Willkie Farr & Gallagher,First Year Spring Insight Day,01/09/2025,31/01/2026,https://www.willkie.com/careers/legal-professional/early-careers/discover-more-and-apply/united-kingdom#country
Hogan Lovells,London Training Contract,10/09/2025,31/01/2026,https://ukearlycareers.hoganlovells.com/what-we-offer/london-training-contract/?utm_source=legalcheek&utm_medium=referral&utm_campaign=graduates2025
Hogan Lovells,Launch Pad: First Year Insight Scheme 1,05/01/2026,28/02/2026,https://ukearlycareers.hoganlovells.com/what-we-offer/first-year-insight-scheme/?utm_source=legalcheek&utm_medium=referral&utm_campaign=graduates2025
Hogan Lovells,Birmingham Training Contract,10/09/2025,31/03/2026,https://ukearlycareers.hoganlovells.com/what-we-offer/training-contract-birmingham/?utm_source=legalcheek&utm_medium=referral&utm_campaign=graduates2025
Forsters,First Year Insight Day,04/09/2025,24/04/2026,https://www.forsters.co.uk/early-careers/graduate-recruitment
Farrer & Co,Training Contract,01/11/2025,27/03/2026,https://www.farrer.co.uk/join-us/train-with-us/training-contracts/
Shoosmiths,Discover Vacation Placement and Mentoring Scheme,04/12/2025,31/01/2026,https://www.shoosmiths.com/careers/emerging-talent/placement
Shoosmiths,Virtual Insight Evening: Training Contracts (England & Scotland),31/10/2025,18/02/2026,https://www.shoosmiths.com/careers/emerging-talent/insight-evening
Shoosmiths,Training Contract,04/12/2025,31/03/2026,https://www.shoosmiths.com/careers/emerging-talent/training-contract
BCLP,Training Contract 2027/28,01/09/2025,31/05/2026,https://trainee.bclplaw.com/opportunities/london/
Macfarlanes,Training Programme,05/01/2026,26/06/2026,https://www.macfarlanes.com/join-us/early-legal-careers/apply/
Linklaters,Pathfinder 1,02/12/2025,04/02/2026,https://careers.linklaters.com/en/early-careers/university-and-graduate-opportunities/pathfinder
Linklaters,Pathfinder 2,02/12/2025,04/02/2026,https://careers.linklaters.com/en/early-careers/university-and-graduate-opportunities/pathfinder
Linklaters,Going Forward,07/04/2026,04/06/2026,https://careers.linklaters.com/en/early-careers/university-and-graduate-opportunities/going-forward
Linklaters,Making Links Scholarship,07/04/2026,04/06/2026,https://careers.linklaters.com/en/early-careers/university-and-graduate-opportunities/making-links
Payne Hicks Beach,Training Contract,25/09/2025,28/03/2026,https://www.phb.co.uk/careers/trainee-hub/
Penningtons Manches Cooper,Trainee Solicitor Programme,12/01/2026,27/03/2026,https://earlycareers-penningtonslaw.icims.com/jobs/intro
HFW,Virtual Insight Day,02/10/2026,12/02/2026,https://www.hfw.com/careers/early-careers/
HFW,Training Contract,02/10/2025,16/07/2026,https://www.hfw.com/careers/early-careers/
Osborne Clarke,Insight Scheme,01/10/2025,28/02/2026,https://join.osborneclarke.com/insight-scheme
Ashfords,Exeter First Year Insight Day,01/11/2025,03/03/2026,https://www.ashfords.co.uk/careers/early-careers/trainee-opportunities
Ashfords,Bristol First Year Insight Day,01/11/2025,05/03/2026,https://www.ashfords.co.uk/careers/early-careers/trainee-opportunities
Ashfords,Exeter Summer Scheme 1,01/11/2025,31/03/2026,https://www.ashfords.co.uk/careers/early-careers/trainee-opportunities
Ashfords,Exeter Summer Scheme 2,01/11/2025,31/03/2026,https://www.ashfords.co.uk/careers/early-careers/trainee-opportunities
Ashfords,Exeter Training Contract,01/11/2025,31/03/2026,https://www.ashfords.co.uk/careers/early-careers/trainee-opportunities
Ashfords,Bristol Summer Scheme,01/11/2025,31/03/2026,https://www.ashfords.co.uk/careers/early-careers/trainee-opportunities
Ashfords,Bristol Training Contract,01/11/2025,31/03/2026,https://www.ashfords.co.uk/careers/early-careers/trainee-opportunities
Bristows,First Year Open Day - Virtual,05/09/2025,22/05/2026,https://www.bristows.com/careers/trainees/want-some-advice/apply-now/
Mayer Brown,First Year Insight Day (Virtual),01/10/2025,31/01/2026,https://www.mayerbrownfutures.com/our-programs/europe
Mayer Brown,Direct Training Contract,01/09/2025,31/03/2026,https://www.mayerbrownfutures.com/our-programs/europe
Harbottle & Lewis,Training Contract 2028,01/11/2025,31/01/2026,https://gradhub.harbottle.com/grad-hub/
Burges Salmon,Bristol Trainee Insight Day 1,29/09/2025,09/03/2026,https://www.burges-salmon.com/join-us/emerging-talent/trainees/
Burges Salmon,Bristol Trainee Insight Day 2,29/09/2025,09/03/2026,https://www.burges-salmon.com/join-us/emerging-talent/trainees/
Burges Salmon,Bristol Open Day,29/09/2025,09/03/2026,https://www.burges-salmon.com/join-us/emerging-talent/trainees/
Burges Salmon,Bristol Open Day,29/09/2025,11/03/2026,https://www.burges-salmon.com/join-us/emerging-talent/trainees/
Burges Salmon,Bristol Direct Training Contract,29/09/2025,22/06/2026,https://www.burges-salmon.com/join-us/emerging-talent/trainees/
Haynes Boone,Training contract,02/03/2026,07/06/2026,https://www.haynesboone.com/careers/london-programmes
Brabners,February Insight Day 1,06/10/2025,02/02/2026,https://www.brabners.com/careers/early-law-careers-opportunities
Brabners,February Insight Day 2,06/10/2025,02/02/2026,https://www.brabners.com/careers/early-law-careers-opportunities
Brabners,Begin at Brabners – First Year Scheme,06/10/2025,19/02/2026,https://www.brabners.com/careers/early-law-careers-opportunities
Brabners,Summer Vacation Scheme 2026 - Liverpool,06/10/2025,26/02/2026,https://www.brabners.com/careers/early-law-careers-opportunities
Brabners,Summer Vacation Scheme 2026 - Manchester,06/10/2025,26/02/2026,https://www.brabners.com/careers/early-law-careers-opportunities
Brabners,Training Contract 2028,06/10/2025,26/02/2026,https://www.brabners.com/careers/early-law-careers-opportunities
Simmons & Simmons,Spring Insight Scheme,10/12/2025,31/01/2026,https://www.simmons-simmons.com/en/graduates
Simmons & Simmons,Summer Vacation Scheme (Bristol),15/10/2025,15/02/2026,https://www.simmons-simmons.com/en/graduates
Simmons & Simmons,Evolve Placement Year,15/10/2025,15/02/2026,https://www.simmons-simmons.com/en/graduates
Wedlake Bell,Training Contract,01/11/2025,01/05/2026,https://apply.candidats.io/5aa5f6e4-892f-4d69-ad2d-467351b68422?utm_campaign=Legal-Cheek
Weightmans,Legal Insights Programme (Virtual),01/10/2025,02/03/2026,https://www.weightmans.com/careers/early-careers/legal-insights-programme/
